AFGHANISTAN
AFRIQUE DU SUD
ALBANIE
ALGERIE
ALLEMAGNE
ANDORRE
ANGUILLA
ANT. NÉERLANDAISES
ANTARCTIQUE
ANTIGUA-ET-BARBUDA
ARABIE SAOUDITE
ARGENTINE
ARMENIE
ARUBA
AUSTRALIE
AUTRICHE
AZERBAIDJAN
BAHAMAS
BAHREIN
BANGLADESH
BARBADE
BÉLARUS
BELGIQUE
BELIZE
BÉNIN
BERMUDES
BHOUTAN
BIRMANIE
BOLIVIE
BOSNIE-HERZÉGOVINE
BOTSWANA
BRÉZIL
BRUNÉI DARUSSALAM
BULGARIE
BURKINA FASO
BURUNDI
CAMBODGE
CAMEROUN
CANADA
CAP-VERT
CHAD
CHILI
CHINE
CHYPRE
COLOMBIE
COMORES
CONGO
CORÉE DU NORD
CORÉE DU SUD
COSTA RICA
COTE D'IVOIRE
CROATIE
CUBA
DANEMARK
DJIBOUTI
DOMINIQUE
EGYPTE
EL SALVADOR
ÉMIRAT ARABES UNIS
EQUATEUR
ERYTHRÉE
ESPAGNE
ESTONIE
ÉTATS-UNIS
ETHIOPIE
FÉDÉRATION DE RUSSIE
FIDJI
FINLANDE
FRANCE
GABON
GAMBIE
GEORGIE
GHANA
GIBRALTAR
GRÈCE
GRENADE
GROENLAND
GUADELOUPE
GUAM
GUATEMALA
GUINÉE
GUINÉE ÉQUATORIALE
GUINEÉ-BISSAU
GUYANA
GUYANE FRANÇAISE
HAITI
HONDURAS
HONG KONG
HONGRIE
I. MARIANNES DU NORD
ILE DE LA RÉUNION
ILE MAURICE
ILES CAÌMANES
ILES CHRISTMAS
ILES COCOS (KEELING)
ILES COOK
ILES FÉROÉ
ILES MALOUINES
ILES MARSHALL
ILES SALOMON
ILES TURQUES-CAIQUES
ILES VIERGES (É-U)
ILES VIERGES (R-U)
INDE
INDONÉSIE
IRAN
IRAQ
IRLANDE
ISLANDE
ISRAEL
ITALIE
JAMAÌQUE
JAPON
JORDANIE
KAZAKHSTAN
KENYA
KIRGHIZISTAN
KIRIBATI
KOWEIT
LAOS
LESOTHO
LETTONIE
LIBAN
LIBÉRIA
LIBYE
LIECHTENSTEIN
LITHUANIE
LUXEMBOURG
MACAO
MACÉDOINE
MADAGASCAR
MALAISIE
MALAWI
MALDIVES
MALI
MALTE
MAROC
MARTINIQUE
MAURITANIE
MAYOTTE
MEXIQUE
MICRONÉSIE
MOLDAVIE
MONACO
MONGOLIE
MONTENEGRO
MONTSERRAT
MOZAMBIQUE
NAMIBIE
NAURU
NÉPAL
NICARAGUA
NIGER
NIGERIA
NIOUÉ
NORVÈGE
NOUVELLE-CALEDONIE
NOUVELLE-ZÉLANDE
OMAN
OUGANDA
OUZBÉKISTAN
PAKISTAN
PALAOS
PANAMA
PAPOUASIE-N.-GUINÉE
PARAGUAY
PAYS-BAS
PÉROU
PHILIPPINES
PITCAIRN
POLOGNE
POLYNÉSIE FRANÇAISE
PORTUGAL
PUERTO RICO
QATAR
RÉP. CENTRAFRICAINE
RÉP. DÉM. DU CONGO
RÉP. DOMINICAINE
RÉP. UNIE TANZANIE
RÉPUBLIQUE D'ANGOLA
REPUBLIQUE TCHÈQUE
ROUMANIE
ROYAUME-UNI
RWANDA
SAHARA OCCIDENTAL
SAINT LUCIE
SAINT-KITTS-ET-NEVIS
SAINT-MARIN
SAINT-SIÈGE
SAMOA
SAO TOMÉ-ET-PRINCIPE
SÉNÉGAL
SERBIE
SEYCHELLES
SIERRA LEONE
SINGAPOUR
SLOVAQUIE
SLOVÉNIE
SOMALIE
SOUDAN
SOUDAN DU SUD
SRI LANKA
ST-VC-ET-GRENADINES
SUÈDE
SUISSE
SURINAME
SWAZILAND
SYRIE
T.A.A.F.
TAIWAN
TAJIKISTAN
TANZANIE
THAILANDE
TIMOR-ORIENTAL
TOGO
TOKELAU
TONGA
TRINITÉ-ET-TOBAGO
TUNISIE
TURKMÉNISTAN
TURQUIE
TUVALU
UKRAINE
URUGUAY
VANUATU
VENEZUELA
VIÊT NAM
WALLIS AND FUTUNA
YEMEN
ZAMBIE
ZIMBABWE
